AreaCode,ElementCode,ItemCode,Year,Value
50,5110,6655,2003,1
50,5110,6655,2004,1
50,5110,6655,2005,1
50,5110,6655,2006,1
50,5110,6655,2007,1.9
50,5110,6655,2008,1.4
50,5110,6655,2009,4.3
50,5110,6655,2010,2
50,5110,6655,2011,2.4
50,5110,6655,2012,2.6
50,5110,6655,2013,1.8
50,5110,6655,2014,1.8
51,5110,6655,1990,1641
51,5110,6655,1991,1673
51,5110,6655,1992,1703
52,5110,6655,1992,2431.4
52,5110,6655,1993,2430.3
52,5110,6655,1994,2453.7
52,5110,6655,1995,2453.3
52,5110,6655,1996,2478.5
52,5110,6655,1997,2526.7
52,5110,6655,1998,2622.4
52,5110,6655,1999,2630.6
52,5110,6655,2000,2678
52,5110,6655,2001,2682.9
52,5110,6655,2002,2681.7
52,5110,6655,2003,2690.3
52,5110,6655,2004,2691.4
52,5110,6655,2005,2693.9
52,5110,6655,2006,2693.6
52,5110,6655,2007,2677.8
52,5110,6655,2008,2669
52,5110,6655,2009,2656.2
52,5110,6655,2010,2655.3
